,title,url,published,publishedAt,category
21,Pep Guardiola jokes about ‘stupid tactics’ in Champions League - The Guardian | sports,https://news.google.com/__i/rss/rd/articles/CBMicWh0dHBzOi8vd3d3LnRoZWd1YXJkaWFuLmNvbS9mb290YmFsbC8yMDIyL2Fwci8wNC9wZXAtZ3VhcmRpb2xhLWpva2VzLWFib3V0LWhpcy1zdHVwaWQtdGFjdGljcy1pbi1jaGFtcGlvbnMtbGVhZ3Vl0gEA?oc=5,"Mon, 04 Apr 2022 16:45:00 GMT",1649090700,sports
22,Carlos Beltran causes Aaron Judge contract stir during Yankees game - New York Post | sports,https://news.google.com/__i/rss/rd/articles/CBMiYmh0dHBzOi8vbnlwb3N0LmNvbS8yMDIyLzA0LzA0L2Nhcmxvcy1iZWx0cmFuLWNhdXNlcy1hYXJvbi1qdWRnZS1jb250cmFjdC1zdGlyLWR1cmluZy15YW5rZWVzLWdhbWUv0gEA?oc=5,"Mon, 04 Apr 2022 19:09:00 GMT",1649099340,sports
23,"Presser Bullets: Ryan Day Says Kamryn Babb Will Be Back ""In A Couple Weeks"" After Short-Term Injury, - Eleven Warriors | sports",https://news.google.com/__i/rss/rd/articles/CBMitAFodHRwczovL3d3dy5lbGV2ZW53YXJyaW9ycy5jb20vb2hpby1zdGF0ZS1mb290YmFsbC8yMDIyLzA0LzEzMDIwNy9wcmVzc2VyLWJ1bGxldHMtcnlhbi1kYXktc2F5cy1rYW1yeW4tYmFiYi13aWxsLWJlLWJhY2staW4tYS1jb3VwbGUtd2Vla3MtYWZ0ZXItc2hvcnQtdGVybS1pbmp1cnktc2F5cy1nZWUtc2NvdHQtanLSAbgBaHR0cHM6Ly93d3cuZWxldmVud2FycmlvcnMuY29tL29oaW8tc3RhdGUtZm9vdGJhbGwvMjAyMi8wNC8xMzAyMDcvcHJlc3Nlci1idWxsZXRzLXJ5YW4tZGF5LXNheXMta2FtcnluLWJhYmItd2lsbC1iZS1iYWNrLWluLWEtY291cGxlLXdlZWtzLWFmdGVyLXNob3J0LXRlcm0taW5qdXJ5LXNheXMtZ2VlLXNjb3R0LWpyP2FtcA?oc=5,"Mon, 04 Apr 2022 15:09:16 GMT",1649084956,sports
24,'So doggone proud': Former UNC and Kansas coach Roy Williams says Tar Heels allegiance 'thicker and deeper' - USA TODAY | sports,https://news.google.com/__i/rss/rd/articles/CBMib2h0dHBzOi8vd3d3LnVzYXRvZGF5LmNvbS9zdG9yeS9zcG9ydHMvbmNhYWIvMjAyMi8wNC8wNC9yb3ktd2lsbGlhbXMtdW5jLWthbnNhcy10YXItaGVlbHMtdGl0bGUtZ2FtZS83MjYyODk1MDAxL9IBAA?oc=5,"Mon, 04 Apr 2022 16:33:29 GMT",1649090009,sports
25,Oakland A’s news: Reactions to the Sean Manaea trade to Padres - Athletics Nation | sports,https://news.google.com/__i/rss/rd/articles/CBMifGh0dHBzOi8vd3d3LmF0aGxldGljc25hdGlvbi5jb20vMjAyMi80LzQvMjMwMDkyMjgvZWxlcGhhbnQtcnVtYmxpbmdzLXJlYWN0aW9ucy1zZWFuLW1hbmFlYS10cmFkZS1vYWtsYW5kLWFzLXNhbi1kaWVnby1wYWRyZXPSAQA?oc=5,"Mon, 04 Apr 2022 14:00:00 GMT",1649080800,sports
26,"Crawford makes club; Hill 5th starter, with Whitlock in 'pen - MLB.com | sports",https://news.google.com/__i/rss/rd/articles/CBMiSWh0dHBzOi8vd3d3Lm1sYi5jb20vbmV3cy9rdXR0ZXItY3Jhd2ZvcmQtbWFrZXMtcmVkLXNveC1vcGVuaW5nLWRheS1yb3N0ZXLSAVJodHRwczovL3d3dy5tbGIuY29tL2FtcC9uZXdzL2t1dHRlci1jcmF3Zm9yZC1tYWtlcy1yZWQtc294LW9wZW5pbmctZGF5LXJvc3Rlci5odG1s?oc=5,"Mon, 04 Apr 2022 18:28:21 GMT",1649096901,sports
27,Indiana high school basketball: Meet 2022 Indiana All-Stars boys team - IndyStar | sports,https://news.google.com/__i/rss/rd/articles/CBMimwFodHRwczovL3d3dy5pbmR5c3Rhci5jb20vc3Rvcnkvc3BvcnRzL2hpZ2gtc2Nob29sLzIwMjIvMDQvMDQvaW5kaWFuYS1hbGwtc3RhcnMtMjAyMi1ib3lzLXRlYW0tbmFtZWQtbGVkLWJyYWRlbi1zbWl0aC1uby1mbGV0Y2hlci1sb3llci1kZWNsaW5lcy83MjE1ODkxMDAxL9IBAA?oc=5,"Mon, 04 Apr 2022 14:52:22 GMT",1649083942,sports
28,"Updated 2022 Masters Odds & Picks for Brooks Koepka, Patrick Cantlay, Will Zalatoris, More - The Action Network | sports",https://news.google.com/__i/rss/rd/articles/CBMiamh0dHBzOi8vd3d3LmFjdGlvbm5ldHdvcmsuY29tL2dvbGYvMjAyMi1tYXN0ZXJzLW9kZHMtcGlja3MtcHJlZGljdGlvbnMtYnJvb2tzLWtvZXBrYS1wYXRyaWNrLWNhbnRsYXktc29iZWzSAQA?oc=5,"Mon, 04 Apr 2022 18:04:00 GMT",1649095440,sports
29,Draymond's message to young Warriors set tone for win vs. Kings - NBC Sports | sports,https://news.google.com/__i/rss/rd/articles/CBMiamh0dHBzOi8vd3d3Lm5iY3Nwb3J0cy5jb20vYmF5YXJlYS93YXJyaW9ycy9kcmF5bW9uZC1ncmVlbnMtbWVzc2FnZS15b3VuZy13YXJyaW9ycy1oZWxwZWQtbGVhZC13aW4tdnMta2luZ3PSAQA?oc=5,"Mon, 04 Apr 2022 15:00:31 GMT",1649084431,sports
30,MSU's Dwayne Stephens a 'home run hire' as Western Michigan men's basketball coach - Detroit News | sports,https://news.google.com/__i/rss/rd/articles/CBMiqgFodHRwczovL3d3dy5kZXRyb2l0bmV3cy5jb20vc3Rvcnkvc3BvcnRzL2NvbGxlZ2UvbWljaGlnYW4tc3RhdGUtdW5pdmVyc2l0eS8yMDIyLzA0LzA0L21pY2hpZ2FuLXN0YXRlLWR3YXluZS1zdGVwaGVucy13ZXN0ZXJuLW1pY2hpZ2FuLWJyb25jb3MtYmFza2V0YmFsbC1jb2FjaC83MjcxMzgzMDAxL9IBKmh0dHBzOi8vYW1wLmRldHJvaXRuZXdzLmNvbS9hbXAvNzI3MTM4MzAwMQ?oc=5,"Mon, 04 Apr 2022 20:37:30 GMT",1649104650,sports
